EVBDD
L 25
T 2
N 32630
R 1
S 1
; level 1
75 0 0	75 0 1	; 198
41 0 1	75 0 1	; 199
0 0 0	40 0 1	; 200
40 0 1	74 0 1	; 201
0 0 0	42 0 1	; 202
74 0 0	74 0 1	; 203
76 0 0	76 0 1	; 204
74 0 1	74 1 0	; 205
75 0 0	76 0 1	; 206
0 0 0	75 0 1	; 207
0 0 0	75 0 0	; 208
76 0 1	77 0 1	; 209
0 0 0	74 0 1	; 210
0 0 0	76 0 1	; 211
0 0 0	77 0 1	; 212
0 0 0	74 0 0	; 213
0 0 0	76 0 0	; 214
74 0 0	74 1 1	; 215
0 0 0	78 0 0	; 216
42 0 1	76 0 1	; 217
74 1 1	79 0 1	; 218
75 0 1	77 0 0	; 219
75 0 1	76 0 0	; 220
0 0 0	79 0 1	; 221
80 0 0	81 0 0	; 222
82 0 0	83 0 0	; 223
84 0 0	85 0 0	; 224
84 1 0	86 0 0	; 225
87 0 0	88 0 0	; 226
82 0 0	88 0 0	; 227
88 0 0	89 0 0	; 228
88 0 0	90 0 0	; 229
90 0 0	91 0 1	; 230
83 0 0	90 0 0	; 231
92 0 0	93 0 1	; 232
90 0 0	94 0 0	; 233
45 0 1	90 0 0	; 234
90 0 0	95 0 0	; 235
96 0 0	97 0 0	; 236
98 0 0	99 0 0	; 237
81 0 0	85 0 0	; 238
81 1 0	86 0 0	; 239
88 0 0	100 0 0	; 240
88 0 0	101 0 0	; 241
83 0 0	88 0 0	; 242
83 0 0	91 0 1	; 243
93 0 1	97 0 0	; 244
83 0 0	94 0 0	; 245
45 0 1	83 0 0	; 246
83 0 0	95 0 0	; 247
96 0 0	102 0 0	; 248
88 0 0	103 0 0	; 249
99 0 0	102 0 0	; 250
81 0 0	104 0 0	; 251
83 0 0	105 0 0	; 252
85 0 0	106 0 0	; 253
86 0 0	106 1 0	; 254
88 0 0	107 0 0	; 255
88 0 0	108 0 0	; 256
91 0 1	100 0 0	; 257
83 0 0	100 0 0	; 258
93 0 1	109 0 0	; 259
94 0 0	100 0 0	; 260
45 0 1	100 0 0	; 261
95 0 0	100 0 0	; 262
97 0 0	110 0 0	; 263
99 0 0	111 0 0	; 264
85 0 0	112 0 0	; 265
41 0 1	88 0 0	; 266
91 0 1	103 0 0	; 267
83 0 0	103 0 0	; 268
93 0 1	113 0 0	; 269
94 0 0	103 0 0	; 270
45 0 1	103 0 0	; 271
95 0 0	103 0 0	; 272
99 0 0	113 0 0	; 273
74 0 0	81 0 0	; 274
75 0 0	83 0 0	; 275
85 0 0	114 0 0	; 276
86 0 0	114 1 0	; 277
91 0 1	101 0 0	; 278
83 0 0	101 0 0	; 279
93 0 1	115 0 0	; 280
94 0 0	101 0 0	; 281
45 0 1	101 0 0	; 282
95 0 0	101 0 0	; 283
76 0 0	97 0 0	; 284
81 0 0	116 0 1	; 285
81 0 0	117 0 0	; 286
43 0 1	81 0 0	; 287
81 0 0	118 0 0	; 288
80 1 0	119 0 0	; 289
86 0 0	119 0 0	; 290
80 0 0	84 0 0	; 291
82 0 0	90 0 0	; 292
81 1 0	120 0 1	; 293
97 0 0	121 0 1	; 294
83 0 0	122 0 1	; 295
83 0 0	123 0 1	; 296
83 0 0	124 0 1	; 297
92 0 0	96 0 0	; 298
102 0 0	125 0 1	; 299
81 1 0	119 0 0	; 300
80 0 0	106 0 0	; 301
82 0 0	100 0 0	; 302
81 1 0	126 0 0	; 303
97 0 0	127 0 0	; 304
83 0 0	123 0 0	; 305
83 0 0	128 0 0	; 306
96 0 0	109 0 0	; 307
102 0 0	129 0 0	; 308
43 0 1	84 0 0	; 309
80 0 0	112 0 0	; 310
43 0 1	106 0 0	; 311
43 0 1	112 0 0	; 312
43 0 1	114 0 0	; 313
81 0 0	130 0 1	; 314
81 0 0	112 0 0	; 315
81 0 0	130 0 0	; 316
81 0 0	112 0 1	; 317
43 1 1	119 0 0	; 318
80 0 0	114 0 0	; 319
82 0 0	101 0 0	; 320
97 0 0	131 0 0	; 321
83 0 0	103 0 1	; 322
96 0 0	115 0 0	; 323
102 0 0	132 0 0	; 324
41 0 1	82 0 0	; 325
40 0 1	80 0 0	; 326
84 0 0	112 0 1	; 327
84 1 0	133 0 1	; 328
87 0 0	103 0 1	; 329
80 0 0	112 0 1	; 330
89 0 0	103 0 1	; 331
90 0 0	103 0 1	; 332
90 0 0	107 0 1	; 333
41 0 1	90 0 0	; 334
92 0 0	113 0 1	; 335
82 0 1	90 0 0	; 336
112 1 1	134 0 0	; 337
90 0 0	135 0 1	; 338
98 0 0	113 0 1	; 339
81 1 0	133 0 1	; 340
100 0 0	103 0 1	; 341
101 0 0	103 0 1	; 342
83 0 0	107 0 1	; 343
97 0 0	113 0 1	; 344
82 0 1	83 0 0	; 345
112 1 1	136 0 0	; 346
135 0 1	137 0 0	; 347
42 0 1	96 0 0	; 348
112 0 0	112 0 1	; 349
41 0 1	83 0 0	; 350
102 0 0	113 0 1	; 351
41 0 1	105 0 0	; 352
40 0 1	104 0 0	; 353
106 0 0	112 0 1	; 354
112 0 1	138 0 0	; 355
103 0 1	108 0 0	; 356
100 0 0	107 0 1	; 357
41 0 1	100 0 0	; 358
109 0 0	113 0 1	; 359
82 0 1	100 0 0	; 360
135 0 1	139 0 0	; 361
111 0 0	113 0 1	; 362
82 0 0	103 0 1	; 363
103 0 1	107 0 0	; 364
41 0 1	103 0 1	; 365
103 0 0	103 0 1	; 366
103 0 0	107 0 1	; 367
41 0 1	103 0 0	; 368
113 0 0	113 0 1	; 369
82 0 1	103 0 0	; 370
112 1 1	140 0 0	; 371
135 0 1	141 0 0	; 372
112 0 1	142 0 0	; 373
112 0 1	114 0 0	; 374
114 1 0	133 0 1	; 375
112 0 1	143 0 0	; 376
40 0 1	112 0 1	; 377
114 0 0	138 0 1	; 378
40 0 1	114 0 0	; 379
80 0 1	114 0 0	; 380
112 1 1	144 0 0	; 381
133 0 1	145 0 0	; 382
81 0 0	138 0 1	; 383
80 0 1	81 0 0	; 384
103 0 1	146 0 0	; 385
40 0 1	81 0 0	; 386
133 0 1	147 0 0	; 387
112 1 1	119 0 0	; 388
75 0 0	82 0 0	; 389
74 0 0	80 0 0	; 390
81 1 0	148 0 1	; 391
112 0 0	138 0 1	; 392
101 0 0	107 0 1	; 393
97 0 0	149 0 1	; 394
83 0 0	105 0 1	; 395
136 0 0	138 1 1	; 396
102 0 0	149 0 1	; 397
79 0 1	81 1 0	; 398
40 0 1	112 0 0	; 399
41 0 1	101 0 0	; 400
42 0 1	97 0 0	; 401
75 0 1	83 0 0	; 402
77 0 1	137 0 0	; 403
42 0 1	102 0 0	; 404
80 0 1	84 0 0	; 405
74 0 1	80 0 0	; 406
80 0 1	106 0 0	; 407
80 0 1	112 0 0	; 408
81 0 0	104 0 1	; 409
74 0 1	81 0 0	; 410
80 1 1	136 0 0	; 411
80 1 1	147 0 0	; 412
80 1 1	119 0 0	; 413
82 0 0	103 0 0	; 414
43 0 1	80 0 0	; 415
45 0 1	105 0 0	; 416
75 0 0	45 0 1	; 417
45 0 1	82 0 0	; 418
82 0 0	123 0 1	; 419
96 0 0	113 0 0	; 420
82 0 0	123 0 0	; 421
45 0 1	107 0 0	; 422
41 0 1	45 0 1	; 423
103 0 0	123 0 1	; 424
103 0 0	123 0 0	; 425
52 0 1	113 0 0	; 426
103 0 0	105 0 0	; 427
104 0 0	112 0 0	; 428
43 0 1	138 0 0	; 429
75 0 1	45 0 1	; 430
107 0 0	123 0 1	; 431
103 0 0	107 0 0	; 432
52 0 1	149 0 0	; 433
110 0 0	113 0 0	; 434
107 0 0	123 0 0	; 435
75 0 0	103 0 0	; 436
74 0 0	112 0 0	; 437
40 0 1	43 0 1	; 438
41 0 1	123 0 1	; 439
42 0 1	52 0 1	; 440
76 0 0	113 0 0	; 441
41 0 1	123 0 0	; 442
112 0 0	130 0 1	; 443
112 0 0	130 0 0	; 444
113 0 0	150 0 1	; 445
50 0 1	103 0 0	; 446
82 0 0	107 0 0	; 447
80 0 0	138 0 0	; 448
113 0 0	150 0 0	; 449
96 0 0	149 0 0	; 450
75 0 1	82 0 0	; 451
74 0 1	151 0 0	; 452
80 0 0	80 0 1	; 453
82 0 1	105 0 0	; 454
82 0 0	82 0 1	; 455
74 0 0	80 0 1	; 456
82 0 0	105 0 1	; 457
96 0 0	96 0 1	; 458
82 0 0	96 0 1	; 459
96 0 1	152 0 0	; 460
80 0 0	80 1 1	; 461
82 0 1	107 0 0	; 462
40 0 1	80 0 1	; 463
103 0 0	105 0 1	; 464
96 0 1	113 0 0	; 465
96 0 1	141 0 0	; 466
96 0 1	153 0 0	; 467
80 1 1	154 0 0	; 468
74 0 1	155 0 0	; 469
80 0 1	104 0 0	; 470
74 0 1	104 0 0	; 471
80 0 1	138 0 0	; 472
74 0 1	80 0 1	; 473
104 0 1	138 0 0	; 474
74 0 1	138 0 0	; 475
80 1 1	156 0 0	; 476
104 0 1	112 0 0	; 477
74 0 1	112 0 0	; 478
80 1 1	140 0 0	; 479
75 0 0	82 0 1	; 480
75 0 1	82 0 1	; 481
41 0 1	82 0 1	; 482
41 0 1	105 0 1	; 483
42 0 1	96 0 1	; 484
77 0 1	96 0 1	; 485
79 0 1	80 1 1	; 486
82 0 1	157 0 0	; 487
75 0 1	158 0 0	; 488
0 0 0	82 0 0	; 489
0 0 0	151 0 0	; 490
0 0 0	80 0 0	; 491
105 0 1	107 0 0	; 492
40 0 1	104 0 1	; 493
0 0 0	155 0 0	; 494
110 0 1	113 0 0	; 495
110 0 1	141 0 0	; 496
110 0 1	153 0 0	; 497
75 0 1	107 0 0	; 498
75 0 1	103 0 0	; 499
0 0 0	103 0 0	; 500
76 0 1	113 0 0	; 501
74 1 1	154 0 0	; 502
52 0 1	97 0 0	; 503
84 1 0	159 0 0	; 504
45 0 1	87 0 0	; 505
45 0 1	89 0 0	; 506
90 0 0	123 0 1	; 507
90 0 0	103 0 0	; 508
92 0 0	52 0 1	; 509
90 0 0	123 0 0	; 510
160 0 0	161 0 0	; 511
43 1 1	162 0 0	; 512
81 1 0	159 0 0	; 513
161 0 0	163 0 0	; 514
106 1 0	159 0 0	; 515
45 0 1	108 0 0	; 516
100 0 0	123 0 1	; 517
100 0 0	103 0 0	; 518
52 0 1	109 0 0	; 519
100 0 0	123 0 0	; 520
43 1 1	164 0 0	; 521
112 1 0	159 0 0	; 522
140 0 0	159 0 0	; 523
101 0 0	123 0 1	; 524
101 0 0	103 0 0	; 525
52 0 1	115 0 0	; 526
101 0 0	123 0 0	; 527
161 0 0	165 0 0	; 528
136 0 0	159 0 0	; 529
81 1 0	166 0 0	; 530
97 0 0	150 0 1	; 531
83 0 0	50 0 1	; 532
163 0 0	167 0 0	; 533
119 0 0	130 1 1	; 534
81 1 0	140 0 0	; 535
97 0 0	113 0 0	; 536
83 0 0	107 0 0	; 537
112 1 0	119 0 0	; 538
97 0 0	150 0 0	; 539
163 0 0	168 0 1	; 540
119 0 0	130 1 0	; 541
85 0 0	87 0 0	; 542
85 0 0	169 0 0	; 543
85 0 0	170 0 0	; 544
85 0 0	171 0 0	; 545
85 0 0	138 0 0	; 546
85 0 0	172 0 0	; 547
104 1 0	119 0 0	; 548
88 0 0	146 0 0	; 549
40 0 1	85 0 0	; 550
74 1 0	119 0 0	; 551
116 0 1	170 0 0	; 552
112 0 0	116 0 1	; 553
116 0 1	171 0 0	; 554
80 1 0	162 0 0	; 555
81 0 0	170 0 0	; 556
81 0 0	171 0 0	; 557
117 0 0	170 0 0	; 558
112 0 0	117 0 0	; 559
117 0 0	171 0 0	; 560
80 1 0	164 0 0	; 561
118 0 0	170 0 0	; 562
112 0 0	118 0 0	; 563
118 0 0	171 0 0	; 564
75 0 0	77 0 0	; 565
75 0 0	77 0 1	; 566
40 0 1	79 0 1	; 567
74 0 0	79 0 0	; 568
41 0 1	77 0 0	; 569
40 0 1	79 0 0	; 570
40 0 1	74 1 1	; 571
41 0 1	76 0 0	; 572
74 0 0	79 0 1	; 573
40 0 1	74 1 0	; 574
74 0 1	79 0 1	; 575
105 0 0	112 0 1	; 576
74 0 0	112 0 1	; 577
82 0 0	107 0 1	; 578
112 0 1	173 0 0	; 579
103 0 1	105 0 0	; 580
74 0 1	112 0 1	; 581
107 0 0	107 0 1	; 582
41 0 1	107 0 0	; 583
42 0 1	110 0 0	; 584
75 0 0	103 0 1	; 585
75 0 1	103 0 1	; 586
41 0 1	107 0 1	; 587
138 0 1	173 0 0	; 588
40 0 1	138 0 1	; 589
76 0 0	96 0 0	; 590
40 0 1	173 0 0	; 591
80 0 1	173 0 0	; 592
76 0 1	96 0 0	; 593
43 0 1	87 0 0	; 594
43 0 1	169 0 0	; 595
43 0 1	170 0 0	; 596
43 0 1	171 0 0	; 597
43 0 1	172 0 0	; 598
130 0 1	170 0 0	; 599
130 0 1	171 0 0	; 600
112 0 0	170 0 0	; 601
112 0 0	171 0 0	; 602
130 0 0	170 0 0	; 603
130 0 0	171 0 0	; 604
112 0 1	170 0 0	; 605
112 0 1	171 0 0	; 606
43 0 1	105 0 0	; 607
140 0 0	174 0 0	; 608
74 0 0	43 0 1	; 609
152 0 0	161 0 0	; 610
112 1 0	174 0 0	; 611
43 0 1	173 0 0	; 612
113 0 0	152 0 0	; 613
153 0 0	161 0 0	; 614
65 0 1	140 0 0	; 615
65 0 1	156 0 0	; 616
74 0 1	43 0 1	; 617
40 1 1	65 0 1	; 618
42 0 1	161 0 0	; 619
103 0 0	158 0 0	; 620
45 0 1	157 0 0	; 621
130 0 1	173 0 0	; 622
40 0 1	130 0 1	; 623
96 0 0	152 0 0	; 624
153 0 0	167 0 0	; 625
112 0 0	138 0 0	; 626
130 0 0	173 0 0	; 627
40 0 1	130 0 0	; 628
149 0 0	152 0 0	; 629
153 0 0	168 0 1	; 630
140 0 0	140 0 1	; 631
52 0 1	96 0 0	; 632
96 0 0	113 0 1	; 633
113 0 1	149 0 0	; 634
42 0 1	113 0 1	; 635
113 0 0	149 0 1	; 636
42 0 1	113 0 0	; 637
0 0 0	103 0 1	; 638
75 0 0	107 0 1	; 639
76 0 0	113 0 1	; 640
75 0 1	107 0 1	; 641
76 0 1	113 0 1	; 642
42 0 1	149 0 1	; 643
80 0 0	175 0 1	; 644
112 0 0	175 0 1	; 645
138 0 0	175 0 1	; 646
40 0 1	175 0 1	; 647
112 0 0	176 0 0	; 648
112 0 0	173 0 1	; 649
74 1 0	79 0 0	; 650
76 0 0	77 0 0	; 651
41 0 1	77 0 1	; 652
74 0 1	79 0 0	; 653
75 0 1	77 0 1	; 654
74 0 0	173 0 1	; 655
40 0 1	173 0 1	; 656
74 0 1	173 0 1	; 657
40 0 1	105 0 1	; 658
80 0 0	173 0 1	; 659
138 0 0	173 0 1	; 660
40 0 1	138 0 0	; 661
105 0 1	112 0 0	; 662
152 0 0	153 0 0	; 663
70 0 1	153 0 0	; 664
70 0 1	177 0 0	; 665
80 1 0	174 0 0	; 666
103 0 0	178 0 1	; 667
138 1 0	174 0 0	; 668
153 0 0	153 0 1	; 669
92 0 0	99 0 0	; 670
97 0 0	99 0 0	; 671
99 0 0	109 0 0	; 672
99 0 0	115 0 0	; 673
97 0 0	125 0 1	; 674
97 0 0	102 0 0	; 675
97 0 0	129 0 0	; 676
92 0 0	179 0 1	; 677
97 0 0	179 0 1	; 678
81 1 0	180 0 1	; 679
115 0 0	179 0 1	; 680
97 0 0	181 0 1	; 681
97 0 0	141 0 0	; 682
97 0 0	168 0 1	; 683
40 0 1	151 0 0	; 684
96 0 0	135 0 1	; 685
80 1 0	133 0 1	; 686
113 0 0	135 0 1	; 687
112 1 0	133 0 1	; 688
40 0 1	155 0 0	; 689
40 0 1	105 0 0	; 690
135 0 1	149 0 0	; 691
40 1 1	133 0 1	; 692
74 0 0	151 0 0	; 693
113 0 0	182 0 1	; 694
112 1 0	148 0 1	; 695
74 0 0	155 0 0	; 696
77 0 1	113 0 0	; 697
79 0 1	112 1 0	; 698
92 0 0	183 0 0	; 699
97 0 0	183 0 0	; 700
81 1 0	184 0 0	; 701
109 0 0	183 0 0	; 702
113 0 0	183 0 0	; 703
97 0 0	185 0 0	; 704
97 0 0	163 0 0	; 705
97 0 0	132 0 0	; 706
74 0 1	74 1 1	; 707
75 0 1	76 0 1	; 708
84 0 0	186 0 0	; 709
84 0 0	187 0 0	; 710
81 0 0	186 0 0	; 711
81 0 0	187 0 0	; 712
102 0 0	110 0 0	; 713
106 0 0	186 0 0	; 714
106 0 0	187 0 0	; 715
86 0 0	164 0 0	; 716
76 0 0	102 0 0	; 717
114 0 0	186 0 0	; 718
114 0 0	187 0 0	; 719
96 0 0	98 0 0	; 720
81 0 0	188 0 1	; 721
81 0 0	189 0 0	; 722
119 0 0	120 0 1	; 723
96 0 0	111 0 0	; 724
81 0 0	190 0 0	; 725
119 0 0	126 0 0	; 726
82 0 0	146 0 0	; 727
83 0 0	191 0 0	; 728
119 0 0	192 0 0	; 729
76 0 0	135 0 1	; 730
74 1 0	140 0 1	; 731
74 0 0	133 0 1	; 732
42 0 1	135 0 1	; 733
77 0 1	103 0 1	; 734
79 0 1	133 0 1	; 735
40 1 1	140 0 1	; 736
79 0 1	112 0 1	; 737
0 0 0	112 0 1	; 738
74 1 1	140 0 1	; 739
74 1 1	112 0 1	; 740
74 0 1	138 0 1	; 741
74 1 1	133 0 1	; 742
42 0 1	182 0 1	; 743
77 0 1	107 0 1	; 744
40 1 1	79 0 1	; 745
77 0 1	82 0 1	; 746
41 0 1	141 0 1	; 747
80 0 0	175 0 0	; 748
112 0 0	175 0 0	; 749
138 0 0	175 0 0	; 750
40 0 1	175 0 0	; 751
112 0 0	176 0 1	; 752
112 0 0	173 0 0	; 753
0 0 0	96 0 1	; 754
0 0 0	82 0 1	; 755
0 0 0	80 0 1	; 756
0 0 0	152 0 1	; 757
0 0 0	105 0 1	; 758
76 0 1	96 0 1	; 759
76 0 1	82 0 1	; 760
74 1 1	80 0 1	; 761
75 0 1	105 0 1	; 762
76 0 1	152 0 1	; 763
74 0 1	104 0 1	; 764
0 0 0	104 0 1	; 765
74 1 1	104 0 1	; 766
74 1 1	174 0 1	; 767
75 0 1	158 0 1	; 768
112 0 0	186 0 0	; 769
112 0 0	187 0 0	; 770
96 0 0	161 0 0	; 771
70 0 1	152 0 0	; 772
159 0 0	174 0 0	; 773
113 0 0	161 0 0	; 774
149 0 0	161 0 0	; 775
40 1 1	159 0 0	; 776
113 0 0	167 0 0	; 777
140 0 0	166 0 0	; 778
113 0 0	153 0 0	; 779
140 0 0	193 0 0	; 780
82 0 0	157 0 0	; 781
103 0 0	178 0 0	; 782
; level 8
n 2067
194 0 1	194 1 1	; 783
194 0 1	195 0 1	; 784
194 0 1	196 0 0	; 785
194 1 1	75 0 0	; 786
195 0 1	197 0 1	; 787
194 0 1	198 0 0	; 788
0 0 0	195 0 1	; 789
0 0 0	194 0 1	; 790
194 1 1	195 0 1	; 791
194 0 1	41 0 1	; 792
41 0 1	195 0 1	; 793
194 0 1	199 0 1	; 794
40 0 1	41 0 1	; 795
194 0 1	195 0 0	; 796
194 0 1	199 0 0	; 797
194 1 1	195 0 0	; 798
0 0 0	40 0 1	; 799
41 0 1	197 0 1	; 800
0 0 0	41 0 1	; 801
0 0 0	200 0 0	; 802
200 0 0	200 1 0	; 803
199 0 1	201 0 1	; 804
196 0 0	199 0 1	; 805
198 0 1	200 1 0	; 806
199 0 1	202 0 0	; 807
196 0 0	202 0 0	; 808
75 0 1	200 0 0	; 809
0 0 0	199 0 1	; 810
194 1 1	197 0 0	; 811
195 0 1	199 0 0	; 812
40 0 1	194 0 1	; 813
194 0 1	201 0 1	; 814
194 0 0	194 1 1	; 815
194 0 1	201 0 0	; 816
0 0 0	74 0 0	; 817
74 0 0	74 1 0	; 818
194 0 0	195 0 0	; 819
75 0 0	195 0 0	; 820
74 0 0	198 0 1	; 821
195 0 0	76 0 0	; 822
75 0 0	76 0 0	; 823
74 0 0	196 0 1	; 824
195 0 1	199 0 1	; 825
0 0 0	195 0 0	; 826
0 0 0	197 0 1	; 827
0 0 0	203 0 0	; 828
203 0 0	203 1 0	; 829
199 0 0	201 0 0	; 830
198 0 0	199 0 0	; 831
75 0 1	203 0 0	; 832
196 0 1	203 1 0	; 833
199 0 0	204 0 0	; 834
198 0 0	204 0 0	; 835
0 0 0	199 0 0	; 836
203 0 0	205 0 1	; 837
198 0 0	203 0 0	; 838
198 0 0	206 0 0	; 839
198 0 0	207 0 0	; 840
198 0 0	208 0 1	; 841
0 0 0	198 0 0	; 842
198 0 0	205 0 1	; 843
198 0 0	203 1 0	; 844
198 0 0	201 0 0	; 845
198 0 0	209 0 1	; 846
75 0 1	198 0 0	; 847
196 0 1	198 0 0	; 848
0 0 0	205 0 1	; 849
0 0 0	201 0 0	; 850
0 0 0	210 0 0	; 851
210 0 0	210 1 0	; 852
74 0 1	207 0 0	; 853
75 0 1	207 0 0	; 854
76 0 1	207 0 0	; 855
0 0 0	207 0 0	; 856
207 0 0	211 0 0	; 857
74 0 1	75 0 1	; 858
207 0 0	207 0 1	; 859
207 0 0	210 0 0	; 860
75 0 1	76 0 1	; 861
0 0 0	75 0 1	; 862
206 0 0	212 0 1	; 863
203 0 0	206 0 0	; 864
204 0 0	206 0 0	; 865
202 0 1	204 0 0	; 866
203 1 0	204 0 0	; 867
